ID;NameOfStation;Line;Longitude_WGS84;Latitude_WGS84;AdmArea;District;Year;Month;global_id;geodata_center;geoarea
2;Выхино;Таганско-Краснопресненская линия;37.81860885;55.80974166;Юго-Восточный административный округ;район Выхино-Жулебино;2021;Январь;1146052530;;
3;Щёлковская;Арбатско-Покровская линия;37.79874691;55.80974166;Восточный административный округ;район Северное Измайлово;2021;Январь;1146052531;;
4;Бульвар Дмитрия Донского;Серпуховско-Тимирязевская линия;37.57755224;55.56967951;Юго-Западный административный округ;район Северное Бутово;2021;Январь;1146052532;;
5;Домодедовская;Замоскворецкая линия;37.71878552;55.61087011;Южный административный округ;район Орехово-Борисово Южное;2021;Январь;1146052533;;
6;Новогиреево;Калининская линия;37.81742514;55.72333;Восточный административный округ;район Вешняки;2021;Январь;1146052534;;
7;Новокосино;Калининская линия;37.86427956;55.74511606;Восточный административный округ;район Новокосино;2021;Январь;1146052535;;
8;Царицыно;Замоскворецкая линия;37.66917139;55.62167819;Южный административный округ;район Царицыно;2021;Январь;1146052536;;
9;Текстильщики;Таганско-Краснопресненская линия;37.73242901;55.70881677;Юго-Восточный административный округ;район Текстильщики;2021;Январь;1146052537;;
10;Тушинская;Таганско-Краснопресненская линия;37.43716386;55.8264244;Северо-Западный административный округ;район Покровское-Стрешнево;2021;Январь;1146052538;;
2;Выхино;Таганско-Краснопресненская линия;37.81860885;55.71545536;Юго-Восточный административный округ;район Выхино-Жулебино;2021;Февраль;1146052540;;
2;Выхино;Таганско-Краснопресненская линия;37.81860885;55.71545536;Юго-Восточный административный округ;район Выхино-Жулебино;2021;Март;1146052550;;
2;Выхино;Таганско-Краснопресненская линия;37.81860885;55.71545536;Юго-Восточный административный округ;район Выхино-Жулебино;2021;Апрель;1146052560;;
2;Выхино;Таганско-Краснопресненская линия;37.81860885;55.71545536;Юго-Восточный административный округ;район Выхино-Жулебино;2021;Май;1146052570;;
2;Выхино;Таганско-Краснопресненская линия;37.81860885;55.71545536;Юго-Восточный административный округ;район Выхино-Жулебино;2021;Июнь;1146052580;;
2;Выхино;Таганско-Краснопресненская линия;37.81860885;55.71545536;Юго-Восточный административный округ;район Выхино-Жулебино;2021;Июль;1146052590;;
2;Выхино;Таганско-Краснопресненская линия;37.81860885;55.71545536;Юго-Восточный административный округ;район Выхино-Жулебино;2021;Август;1146052600;;
1;Комсомольская;Кольцевая линия;37.65486112;55.77574627;Центральный административный округ;Красносельский район;2021;Январь;1146052610;;
2;Выхино;Таганско-Краснопресненская линия;37.81860885;55.71545536;Юго-Восточный административный округ;район Выхино-Жулебино;2021;Сентябрь;1146349072;;
2;Выхино;Таганско-Краснопресненская линия;37.81860885;55.71545536;Юго-Восточный административный округ;район Выхино-Жулебино;2021;Октябрь;1263038072;;
2;Выхино;Таганско-Краснопресненская линия;37.81860885;55.71545536;Юго-Восточный административный округ;район Выхино-Жулебино;2021;Ноябрь;1266370635;;
2;Выхино;Таганско-Краснопресненская линия;37.81860885;55.71545536;Юго-Восточный административный округ;район Выхино-Жулебино;2021;Декабрь;1304347427;;
2;Выхино;Таганско-Краснопресненская линия;37.81860885;55.71545536;Юго-Восточный административный округ;район Выхино-Жулебино;2022;Январь;2257253944;;
5;Домодедовская;Замоскворецкая линия;37.71878552;55.61087011;Южный административный округ;район Орехово-Борисово Южное;2022;Январь;2257253947;;
8;Тёплый стан;Калужско-Рижская линия;37.50697019;55.61863853;Юго-Западный административный округ;район Ясенево;2022;Январь;2257253950;;
9;Новокосино;Калининская линия;37.86379572;55.74507473;Восточный административный округ;район Новокосино;2022;Январь;2257253951;;
10;Текстильщики;Таганско-Краснопресненская линия;37.73242901;55.70881677;Юго-Восточный административный округ;район Текстильщики;2022;Январь;2257253952;;
1;Комсомольская;Кольцевая линия;37.65486112;55.77574627;Центральный административный округ;Красносельский район;2022;Январь;2257254012;;
3;Щёлковская;Арбатско-Покровская линия;37.79874691;55.80974166;Восточный административный округ;район Северное Измайлово;2022;Январь;2257254028;;
4;Бульвар Дмитрия Донского;Серпуховско-Тимирязевская линия;37.57755224;55.56967951;Юго-Западный административный округ;район Северное Бутово;2022;Январь;2257254032;;
6;Царицыно;Замоскворецкая линия;37.66917139;55.62167819;Южный административный округ;район Царицыно;2022;Январь;2257254039;;
7;Новогиреево;Калининская линия;37.81742514;55.72333;Восточный административный округ;район Вешняки;2022;Январь;2257254044;;
2;Выхино;Таганско-Краснопресненская линия;37.81860885;55.71545536;Юго-Восточный административный округ;район Выхино-Жулебино;2022;Февраль;2359788802;;
2;Выхино;Таганско-Краснопресненская линия;37.81860885;55.71545536;Юго-Восточный административный округ;район Выхино-Жулебино;2022;Март;2362409077;;
2;Выхино;Таганско-Краснопресненская линия;37.81860885;55.71545536;Юго-Восточный административный округ;район Выхино-Жулебино;2022;Апрель;2366417832;;
2;Выхино;Таганско-Краснопресненская линия;37.81860885;55.71545536;Юго-Восточный административный округ;район Выхино-Жулебино;2022;Май;2370779679;;
2;Выхино;Таганско-Краснопресненская линия;37.81860885;55.71545536;Юго-Восточный административный округ;район Выхино-Жулебино;2022;Июнь;2375973445;;
2;Выхино;Таганско-Краснопресненская линия;37.81860885;55.71545536;Юго-Восточный административный округ;район Выхино-Жулебино;2022;Июль;2379935642;;
2;Выхино;Таганско-Краснопресненская линия;37.81860885;55.71545536;Юго-Восточный административный округ;район Выхино-Жулебино;2022;Август;2382463038;;
2;Выхино;Таганско-Краснопресненская линия;37.81860885;55.71545536;Юго-Восточный административный округ;район Выхино-Жулебино;2022;Сентябрь;2387281233;;
2;Выхино;Таганско-Краснопресненская линия;37.81860885;55.71545536;Юго-Восточный административный округ;район Выхино-Жулебино;2022;Октябрь;2390268244;;
2;Выхино;Таганско-Краснопресненская линия;37.81860885;55.71545536;Юго-Восточный административный округ;район Выхино-Жулебино;2022;Ноябрь;2402230293;;
2;Выхино;Таганско-Краснопресненская линия;37.81860885;55.71545536;Юго-Восточный административный округ;район Выхино-Жулебино;2022;Декабрь;2507467423;;
2;Выхино;Таганско-Краснопресненская линия;37.81860885;55.71545536;Юго-Восточный административный округ;район Выхино-Жулебино;2023;Январь;2533516497;;
3;Щёлковская;Арбатско-Покровская линия;37.79874691;55.80974166;Восточный административный округ;район Северное Измайлово;2023;Январь;2533516498;;
5;Новогиреево;Калининская линия;37.81742514;55.72333;Восточный административный округ;район Вешняки;2023;Январь;2533516513;;
6;Бульвар Дмитрия Донского;Серпуховско-Тимирязевская линия;37.57755224;55.56967951;Юго-Западный административный округ;район Северное Бутово;2023;Январь;2533516523;;
7;Тёплый стан;Калужско-Рижская линия;37.50697019;55.61863853;Юго-Западный административный округ;район Ясенево;2023;Январь;2533516530;;
8;Текстильщики;Таганско-Краснопресненская линия;37.73242901;55.70881677;Юго-Восточный административный округ;район Текстильщики;2023;Январь;2533516536;;
9;ВДНХ;Калужско-Рижская линия;37.64142125;55.82118628;Северо-Восточный административный округ;Останкинский район;2023;Январь;2533516537;;
4;Автозаводская;Замоскворецкая линия;37.65858;55.70801;Южный административный округ;Даниловский район;2023;Январь;2533518833;;
1;Комсомольская;Кольцевая линия;37.65486112;55.77574627;Центральный административный округ;Красносельский район;2023;Январь;2533523261;;
10;Пражская;Серпуховско-Тимирязевская линия;37.60499;55.61354;Южный административный округ;район Чертаново Центральное;2023;Январь;2533523954;;
2;Выхино;Таганско-Краснопресненская линия;37.81860885;55.71545536;Юго-Восточный административный округ;район Выхино-Жулебино;2023;Февраль;2571519991;;
3;Выхино;Таганско-Краснопресненская линия;37.81860885;55.71545536;Юго-Восточный административный округ;район Выхино-Жулебино;2023;Март;2580342908;;
2;Выхино;Таганско-Краснопресненская линия;37.81860885;55.71545536;Юго-Восточный административный округ;район Выхино-Жулебино;2023;Апрель;2587545958;;
2;Выхино;Таганско-Краснопресненская линия;37.81860885;55.71545536;Юго-Восточный административный округ;район Выхино-Жулебино;2023;Май;2591775692;;
2;Выхино;Таганско-Краснопресненская линия;37.81860885;55.71545536;Юго-Восточный административный округ;район Выхино-Жулебино;2023;Июнь;2601994108;;
2;Выхино;Таганско-Краснопресненская линия;37.81860885;55.71545536;Юго-Восточный административный округ;район Выхино-Жулебино;2023;Июль;2606843755;;
2;Выхино;Таганско-Краснопресненская линия;37.81860885;55.71545536;Юго-Восточный административный округ;район Выхино-Жулебино;2023;Август;2615276013;;
2;Выхино;Таганско-Краснопресненская линия;37.81860885;55.71545536;Юго-Восточный административный округ;район Выхино-Жулебино;2023;Сентябрь;2622020103;;
